ID,"Name 
(Counterpart)","RA 
[hh:mm:ss]","DEC 
[dd:mm:ss]","ℓ
[deg]","b 
[deg]","Magnitude
Outburst (AB)","Mag. 
Quies. (AB)","d 
[kpc]","fxpeak
[2-10] keV
[erg s-1 cm-2]","Porb 
[h]"
25,GRS 1737-31,17:40:09,-31:02:24,357.5877503,-0.0994064,,,,6.00E-10,
24,"GRS 1739-278 
V2606 Oph",17:42:40,-27:44:53,0.6720951,1.17572417,J=17.2±0.1,J>20.1,7.25±1.25,7.20E-09,
23,XTE J1856+053,18:56:43,5:18:34,38.2584339,1.24875005,Ks=18.28±0.05,Ks=20.1±0.3,,7.46E-10,
22,"GRS 1730-312 
KS 1730-312",17:33:32,-31:12:16,356.687935,1.00634388,,,,1.14E-08,
21,"GRO J1655-40 
N Sco 1994 = V1033 Sco",16:54:00,-39:50:45,344.9818318,2.45604284,R=13.55,R=16.3±0.1,3.2±0.2,1.15E-07,62.92±0.003
20,"GRS 1716-249 
N Oph 1993 = V2293 Oph",17:19:37,-25:01:03,0.1422746,6.99086431,V∼16.6,V≥21.0,2.4±0.4,1.97E-08,
19,"GRS 1009-45 
N Vel 1993 = MM Vel",10:13:36,-45:04:32,275.878471,9.34597492,R<14.7,r=20.4±0.1,3.8±0.3,5.10E-08,6.8449±0.0003
18,"GRS 1915+105 
V1487 Aql",19:15:12,10:56:45,45.3657052,-0.21897507,H=13.09,I∼23.7±0.4,9±2,9.29E-08,812±4
17,"GRO J0422+32 
V518 Per",4:21:43,32:54:27,165.8808146,-11.91243707,R=12.65,R=21.0±0.1,2.49±0.3,5.77E-08,5.091850±0.000005
16,"GRS 1124-684 
N Mus 1991 = GU Mus",11:26:27,-68:40:33,295.3006588,-7.07263349,V∼13.5,i'=19.92±0.04,4.95+0.69-0.65,1.36E-07,10.38252±2E-05
15,"GS 2023+338 
V404 Cyg",20:24:04,33:52:02,73.1187114,-2.09132512,R∼10.7,R=16.58±0.01,2.39±0.14,2.59E-07,155.30803±5E-05
14,"GS 1734-275 
GRO 1735-27 = KS 1732-273",17:36:02,-27:25:41,0.1608028,2.59055981,,,,1.20E-09,
13,"GS 2000+251 
QZ Vul",20:02:49,25:14:11,63.3663891,-2.99847575,V=16.4,R=21.3±0.2,2.7±0.7,3.46E-07,8.258095±0.000005
12,"GS 1354-64 
BW Cir",13:58:10,-64:44:06,309.9774112,-2.77987343,V=16.9,i'∼20.2,∼25,2.38E-09,61.068±0.002
11,EXO 1846-031,18:49:17,-3:03:55,29.9580344,-0.91793414,r>23,I>22.3,∼7,1.02E-08,
10,SLX 1746-331,17:49:49,-33:12:12,356.8092322,-2.97358081,Ks=18.78±0.06,,,1.37E-08,
9,"H 1705-250 
N Oph 1977 = V2107 Oph",17:08:16,-25:05:30,358.5892354,9.05387073,B=16.3±0.5,R∼20.9±0.2,8.6±2.1,1.75E-08,12.51±0.03
8,"H 1743-322 
XTE J1746-322 = IGR J17464-3213",17:46:16,-32:14:01,357.2550371,-1.83291737,I=19.6,i'>24,∼10,4.62E-08,
7,"3A 0620-003 
N Mon 1975 = V616 Mon",6:22:45,0:20:45,209.9563081,-6.53987555,V∼11.1,V=18.23±0.04,1.06±0.1,2.65E-06,7.752340±2E-06
6,"3A 1524-617 
KY TrA",15:28:17,-61:52:58,320.3189872,-4.42688518,B=17.3,I=21.78±0.09,,4.66E-08,8 – 15
5,"1H 1659-487 
GX 339-4 = V821 Ara",17:02:49,-48:47:23,338.9390902,-4.32648295,I=13.6±0.1,r=19.9±0.1,>5,2.56E-08,42.21±0.01
4,"4U 1755-338 
V4134 Sgr",17:58:40,-33:48:27,357.215521,-4.87236175,V∼18.5,V>21.96,6.5±2.5,1.17E-09,∼4.4
3,"4U 1543-475 
IL Lup",15:47:08,-47:40:11,330.917871,5.42614694,V=14.9,V=16.7,7.5±0.5,9.42E-08,26.79377±0.00007
2,"4U 1630-472 
Nor X-1",16:34:02,-47:23:35,336.9112429,0.25029536,K (not AB)=16.1,,4.7-11.5,2.65E-08,
1,Cen X-2,14:00:28,-64:47:36,310.2000982,-2.9001343,,,,1.58E-07,
