Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc)
J2019+2425,ntf93,J2019+2425,20:19:31.94900,+24:25:15.3038,BT,He,1.163
J2032+4127,aaa+09c,J2032+4127,20:32:13.119,+41:27:24.31,BT,MS,1.330
J2033+1734,rtj+96,J2033+1734,20:33:27.511812,+17:34:58.4699,DD,He,1.740
J2042+0246,san16,J2042+0246,20:42:11.00287,+02:46:14.397,ELL1,He,0.640
J2043+1711,hrm+11,J2043+1711,20:43:20.8816489,+17:11:28.90810,ELL1,He,1.562
J2045+3633,bcf+17,J2045+3633,20:45:01.50504,+36:33:01.4033,DDH,CO,5.629
J2047+1053,rap+12,J2047+1053,20:47,+10:53,BT,UL,2.790
J2051-0827,sbl+96,J2051-0827,20:51:07.519768,-08:27:37.7497,ELL1,UL,1.469
J2052+1219,cck+16,J2052+1219,20:52:47,+12:18,BT,UL,3.923
J2053+4650,bcf+17,J2053+4650,20:53:52.62804,+46:50:51.7181,DDH,CO,3.810
J2055+3829,goc+19,J2055+3829,20:55:10.306550,+38:29:30.90571,ELL1,UL,4.588
J2115+5448,san16,J2115+5448,21:15:11.7678,+54:48:45.154,ELL1,UL,3.106
J2129-0429,hrm+11,J2129-0429,21:29:45.039,-04:29:05.59,ELL1,MS,1.830
B2127+11C,agk+90,J2129+1210C,21:30:01.2042,+12:10:38.209,DD,NS,14.200
J2129-5721,llb+96,J2129-5721,21:29:22.766966,-57:21:14.21183,ELL1,He,3.200
J2140-2310A,rsb+04,J2140-2310A,21:40:22.40610,-23:10:48.7936,ELL1,*,9.200
J2144-5237,bcm+15,J2144-5237,21:44:35.65,-52:37:07.53,ELL1,*,1.659
J2145-0750,bhl+94,J2145-0750,21:45:50.4588,-07:50:18.514,ELL1,CO,0.613
J2204+2700,dsm+13,J2204+2700,22:04:43.609,+27:00:54.69,DDH,He(?),3.196
J2214+3000,rrc+11,J2214+3000,22:14:38.852529,+30:00:38.19263,ELL1,UL,0.600
J2215+5135,hrm+11,J2215+5135,22:15:32.6884,+51:35:36.340,ELL1,MS,2.773
J2222-0137,blr+13,J2222-0137,22:22:05.969101,-01:37:15.72441,DD,CO,0.267
J2229+2643,cam95a,J2229+2643,22:29:50.884528,+26:43:57.6484,DD,He,1.800
J2234+0611,dsm+13,J2234+0611,22:34:23.073090,+06:11:28.68633,DDK,He,0.971
J2234+0944,rap+12,J2234+0944,22:34:46.853816,+09:44:30.2465,ELL1,UL,0.769
J2236-5527,bbb+13,J2236-5527,22:36:51.8510,-55:27:48.833,BT,He,2.053
J2241-5236,kjr+11,J2241-5236,22:41:42.01850,-52:36:36.2260,BT,UL,0.963
J2256-1024,hrm+11,J2256-1024,22:56:56.39294,-10:24:34.385,BTX,UL,2.083
J2302+4442,cgj+11,J2302+4442,23:02:46.978362,+44:42:22.08461,DDH,He(?),0.859
B2303+46,dtws85,J2305+4707,23:05:55.842,+47:07:45.32,BT,CO,3.159
J2310-0555,san16,J2310-0555,23:10:06.430,-05:55:35.9,ELL1,He,1.556
J2317+1439,cnt93,J2317+1439,23:17:09.2364,+14:39:31.265,ELL1H,He,2.160
J2322-2650,sbb+18,J2322-2650,23:22:34.64004,-26:50:58.3171,ELL1,UL,0.227
J2339-0533,rpp+20,J2339-0533,23:39:38.74,-05:33:05.32,ELL1,MS,1.100
