angDist,ID,Name  (Counterpart),RA  [hh:mm:ss],DEC  [dd:mm:ss],â [deg],b  [deg],Magnitude Outburst (AB),Mag.  Quies. (AB),d  [kpc],fxpeak [2-10] keV [erg s-1 cm-2],Porb  [h],ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.793531,64,MAXI J1631-479,16:31:14,-47:48:23,336.2881394,0.31248069,,,,1.06E-8,,247.80864032891,-47.80631096002,0.0065973,0.0036586,72.93,5941220155975573888,247.80864527811,0.2936,-47.80632337128,0.1579,0.4511,0.3278,1.3763,2.891,0.748,0.398,-2.793,0.248,374,0.8767,419.35,0.282,1.703e-01,95,1.3278,0.0613,18,1.032,0,3.68588e+02,8.92980e-01,19.271015,1.09718e+02,4.74027e+00,20.237848,4.04565e+02,18.230425,1.395,2.007423,,,0,,,,,344421443,,0.003809,0.046991,0.015277,19.262074,0.003794,3.71635e+02,0.059,6.3975,3.9976,0.3306
0.903565,63,"MAXI J1820+070 
ASASSN-18ey = V3721 Oph",18:20:22,7:11:07,35.8535506,10.1591562,Vâ¼14,V=18.3,"3.46+2.18-1.03/
2.96Â±0.33",2.26E-7,16.4518Â±0.0002,275.09142659020,7.18535690540,0.0018674,0.0010252,42.40,4477902563164690816,275.09141273506,0.0613,7.18532896893,0.0678,0.3692,0.0780,4.7344,7.005,-3.093,0.091,-6.286,0.094,265,0.3784,278.83,0.000,0.000e+00,31,,,17,1.015,0,2.09064e+03,6.05349e+01,17.386671,1.18672e+03,1.18243e+02,17.652672,1.50435e+03,16.804523,1.287,0.848148,,,0,,,116622750914432872,,,486270102,0.031558,0.108217,0.090325,17.386671,0.031558,2.09064e+03,0.084,1.4692,1.5427,0.5352
2.366933,63,"MAXI J1820+070 
ASASSN-18ey = V3721 Oph",18:20:22,7:11:07,35.8535506,10.1591562,Vâ¼14,V=18.3,"3.46+2.18-1.03/
2.96Â±0.33",2.26E-7,16.4518Â±0.0002,275.09155234834,7.18463015326,0.0109053,0.0095922,45.87,4477902567457910656,275.09154575871,0.5244,7.18460120931,0.5304,-0.8728,0.6100,-1.4308,6.676,-1.471,0.647,-6.512,0.634,232,1.2288,267.39,1.628,1.404e+00,95,1.7359,0.1384,15,1.057,0,1.54611e+02,9.02098e-01,20.214264,9.81376e+01,2.22511e+01,20.358953,1.11640e+02,19.628347,1.357,0.730606,,,0,,,116622750915461999,,,,0.006908,0.246189,0.165042,20.217984,0.006928,1.54082e+02,0.162,10.2896,10.2499,0.1275
0.540672,62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,iâ=18.62Â±0.02,iâ>19.7,,7.1E-10,,273.39169084676,-9.53320383698,0.0141371,0.0096213,50.98,4157753231313839616,273.39169510110,0.6264,-9.53322596446,0.6731,0.7644,0.7787,0.9816,5.067,0.944,0.772,-4.979,0.703,218,0.3480,241.28,0.000,0.000e+00,95,0.9119,0.1817,15,1.015,0,1.33919e+02,9.06004e-01,20.370264,,,,,,,,,,0,,,96562733917150596,,,,0.007845,,,20.370264,0.007845,1.33919e+02,,12.5429,11.6233,0.3600
1.101704,62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,iâ=18.62Â±0.02,iâ>19.7,,7.1E-10,,273.39154039945,-9.53277600658,0.0059927,0.0046025,93.54,4157753227023120000,273.39152657640,0.2609,-9.53280449241,0.2862,-0.3499,0.3530,-0.9914,7.105,-3.067,0.370,-6.409,0.281,220,-1.3955,229.11,0.000,0.000e+00,95,1.0649,0.0792,13,0.932,0,3.59124e+02,1.30648e+00,19.299257,5.14305e+01,5.57995e+00,21.060492,5.78615e+02,17.841920,1.754,3.218571,,,0,,,96562733915241043,,267732978,,0.004816,0.117830,0.021406,19.273666,0.004741,3.67689e+02,0.241,5.9880,4.6086,-0.0329
2.630971,62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,iâ=18.62Â±0.02,iâ>19.7,,7.1E-10,,273.39120204558,-9.53362490105,0.0365594,0.0260065,61.16,4157753231321054464,273.39115657932,2.0769,-9.53367390903,2.1394,4.1494,2.5794,1.6086,14.946,-10.089,2.110,-11.027,1.695,91,0.0915,88.25,1.476,3.119e-01,95,1.3465,0.3978,9,1.003,0,9.53233e+01,1.54747e+00,20.739370,3.83539e+01,3.24054e-01,21.379019,2.47958e+02,18.761950,3.004,2.617069,,,0,,,96562733911110045,,,,0.017840,0.009588,0.061176,20.719702,0.017527,9.70658e+01,1.580,34.3942,28.8091,0.2816
2.817359,62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,iâ=18.62Â±0.02,iâ>19.7,,7.1E-10,,273.39105598647,-9.53355531712,0.0107452,0.0040447,48.26,4157753231321054336,273.39105598647,8.4580,-9.53355531712,7.7640,,,,,,,,,57,19.7217,620.37,23.398,2.246e+01,3,,,7,,0,8.19433e+01,1.47234e+00,20.903584,3.84567e+01,1.82407e+01,21.376112,2.87871e+02,18.599901,3.982,2.776211,,,0,,,,,,,0.019702,0.514992,0.021077,20.903584,0.019702,8.19433e+01,2.535,8.4580,7.7640,0.7497
4.036402,62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,iâ=18.62Â±0.02,iâ>19.7,,7.1E-10,,273.39234202016,-9.53395752530,0.0046860,0.0011201,44.21,4157753231329726592,273.39234202016,3.3648,-9.53395752530,3.4484,,,,,,,,,95,2.1206,120.74,3.007,1.293e+00,3,,,8,,0,9.74278e+01,1.24303e+00,20.715660,2.51069e+01,9.93460e+00,21.839060,1.39719e+02,19.384758,1.692,2.454302,,,0,,,96552733923479660,,,,0.014124,0.429626,0.050891,20.715660,0.014124,9.74278e+01,0.292,3.3648,3.4484,0.8918
4.400716,62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,iâ=18.62Â±0.02,iâ>19.7,,7.1E-10,,273.39125251667,-9.53190338499,0.0097739,0.0072130,99.40,4157753227024059904,273.39123778119,0.4306,-9.53192212795,0.4588,0.5184,0.6198,0.8364,5.336,-3.270,0.603,-4.217,0.443,195,1.5496,261.41,1.031,1.088e+00,95,0.8515,0.1250,13,1.079,0,2.16201e+02,1.07411e+00,19.850224,4.24770e+01,1.41581e+01,21.268158,2.68106e+02,18.677132,1.437,2.591026,,,0,,,96562733912222128,,,,0.006057,0.361899,0.040668,19.830998,0.005973,2.20063e+02,0.016,9.7144,7.2929,-0.0989
3.395723,61,Swift J1658.2-4242,16:58:13,-42:41:56,343.2512784,0.05342834,,,,7.2E-10,,254.55288705415,-42.69896195368,0.0097719,0.0059497,63.76,5966232529369270784,254.55286656221,0.4254,-42.69897375422,0.2736,0.6719,0.3963,1.6956,4.305,-3.389,0.560,-2.655,0.419,369,1.8548,448.23,1.325,2.267e+00,95,1.2506,0.0829,19,1.069,0,2.36729e+02,7.74918e-01,19.751740,3.42871e+01,4.19227e+00,21.500713,2.96902e+02,18.566362,1.399,2.934351,,,0,,,,,123906598,,0.004497,0.132782,0.021655,19.727069,0.004434,2.42170e+02,-0.072,9.1514,6.8660,0.3792
4.410870,58,IGR J17451-3022,17:45:07,-30:22:43,358.7115137,-0.65799919,Ks=17.4Â±0.2,Ks=17.6Â±0.1,,1.9E-10,â¼6.284Â±0.001,266.27912347117,-30.37738643616,0.0045919,0.0020359,70.61,4056777725548386816,266.27909867240,0.1997,-30.37744281471,0.1505,0.4034,0.2098,1.9225,13.568,-4.814,0.271,-12.685,0.146,355,0.7108,429.58,0.483,1.499e+00,95,1.2163,0.0391,17,1.026,0,6.95010e+02,1.18005e+00,18.582390,1.67039e+02,5.19777e+00,19.781494,8.99827e+02,17.362497,1.535,2.418997,,,0,,,71542662791197421,,,,0.003315,0.033900,0.016746,18.566159,0.003300,7.05478e+02,0.140,4.3838,2.4521,0.4936
