angDist,Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
3.769252,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04300621784,-72.08863455697,0.0000692,0.0000408,97.50,4689639198115981952,6.04300621784,0.0688,-72.08863455697,0.0415,,,,,,,,,49,3.2017,80.39,0.115,2.952e+00,3,,,6,,0,6.39614e+04,5.08503e+02,13.672572,6.02639e+04,3.79382e+03,13.388399,8.78930e+04,12.388010,2.316,1.000389,,,0,,,,,,,0.009061,0.068408,0.041004,13.672572,0.009061,6.39614e+04,1.099,0.0688,0.0415,-0.1417
3.952660,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04926589418,-72.08833223442,0.0007219,0.0003190,124.68,4689639198115984256,6.04926589418,0.6207,-72.08833223442,0.4874,,,,,,,,,42,26.1922,1023.02,1.654,1.128e+02,3,,,6,,0,1.67494e+04,2.62669e+02,15.127369,3.16744e+04,2.04058e+02,14.086770,4.44616e+04,13.127932,4.546,0.958838,,,0,,,,,,,0.017248,0.007531,0.011991,15.127369,0.017248,1.67494e+04,3.333,0.6207,0.4874,-0.6486
4.423929,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04637304830,-72.09015880957,0.0001382,0.0001071,84.59,4689639198115980672,6.04637304830,0.1379,-72.09015880957,0.1074,,,,,,,,,57,20.1241,642.04,0.559,4.987e+01,3,,,7,,0,6.85099e+04,4.17786e+02,13.597983,6.22155e+04,2.00941e+03,13.353796,9.94578e+04,12.253799,2.360,1.099998,,,0,,,,,,,0.007171,0.035178,0.013375,13.597983,0.007171,6.85099e+04,1.133,0.1379,0.1074,0.0483
4.981114,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04220666291,-72.08952310488,0.0012150,0.0008816,41.49,4689639198115980800,6.04228096610,0.0599,-72.08953304620,0.0483,0.1701,0.0681,2.4963,5.607,5.141,0.062,-2.237,0.069,104,9.9566,732.59,0.241,3.674e+01,95,1.4030,0.0130,9,1.786,0,1.67212e+05,6.84356e+02,12.629195,9.83833e+04,1.91261e+03,12.856239,1.87771e+05,11.563827,1.711,1.292413,,,0,,,,,,,0.005229,0.021291,0.018645,12.629195,0.005229,1.67212e+05,0.465,1.0411,1.0814,0.3081
1.449971,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02741965469,-72.06892827485,0.0001527,0.0000404,68.25,4689639472995378176,6.02741965469,0.1426,-72.06892827485,0.0679,,,,,,,,,42,6.9227,132.65,0.176,1.112e+01,3,,,5,,0,1.27857e+05,5.04316e+02,12.920555,,,,,,,,,,0,,,,,,,0.005092,,,12.920555,0.005092,1.27857e+05,,0.1426,0.0679,0.7704
1.457382,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02904852521,-72.06877024646,0.0009235,0.0004629,78.99,4689639473007316992,6.02904852521,0.9108,-72.06877024646,0.4875,,,,,,,,,49,14.7414,374.96,1.296,4.126e+01,3,,,7,,0,8.30467e+03,1.14359e+02,15.889061,,,,,,,,,,0,,,,,,,0.015203,,,15.889061,0.015203,8.30467e+03,,0.9108,0.4875,0.2697
2.055498,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02928601945,-72.06816792013,0.0032751,0.0009102,162.02,4689639472995345024,6.02936422618,0.0723,-72.06817458642,0.1236,0.2985,0.0653,4.5717,5.622,5.418,0.085,-1.500,0.201,74,6.0569,193.33,0.249,7.645e+00,95,1.5637,0.0168,9,1.556,0,2.25841e+04,2.47304e+02,14.802859,2.21031e+04,2.22516e+02,14.477407,3.26630e+04,13.462754,2.425,1.014653,,,0,,,,,,,0.012204,0.011281,0.018141,14.804946,0.012227,2.25407e+04,1.207,1.3310,3.1278,-0.6980
2.120778,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02605368454,-72.06867289527,0.0004928,0.0003365,57.44,4689639472995388800,6.02605368454,0.4531,-72.06867289527,0.3883,,,,,,,,,72,41.5437,2608.43,1.987,2.117e+02,3,,,8,,0,1.33294e+04,3.02148e+02,15.375340,2.75881e+04,2.76171e+02,14.236738,4.63896e+04,13.081843,5.550,1.154895,,,0,,,,,,,0.024765,0.011221,0.025970,15.375340,0.024765,1.33294e+04,4.318,0.4531,0.3883,0.3342
2.387709,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02763493074,-72.06921441829,0.0072985,0.0067195,142.37,4689639468699964800,6.02775610805,0.3072,-72.06922316636,0.2752,-0.0431,0.3229,-0.1335,8.622,8.394,0.431,-1.968,0.447,183,95.1644,148482.27,2.563,5.052e+03,95,1.2694,0.0858,20,9.137,0,2.55086e+05,7.55411e+02,12.170649,1.83554e+05,2.22765e+03,12.179132,3.74398e+05,10.814561,2.187,1.364572,,,0,,,,,,,0.004234,0.013469,0.014947,12.170649,0.004234,2.55086e+05,0.933,6.9410,7.0883,-0.0798
3.221365,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02623178226,-72.06783124071,0.0034189,0.0019800,40.14,4689639468699963520,6.02630452437,0.1197,-72.06784783340,0.0994,-0.0926,0.1213,-0.7636,6.272,5.039,0.169,-3.733,0.181,99,43.5727,2861.79,0.598,1.034e+02,31,,,10,5.501,0,6.42667e+04,2.17117e+02,13.667401,4.34479e+04,4.43680e+02,13.743620,6.34543e+04,12.741742,1.663,1.001878,,,0,,,,,,,0.004588,0.011433,0.007046,13.667401,0.004588,6.42667e+04,0.446,2.6737,2.9088,0.4923
3.366441,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.03046550632,-72.06907228567,0.0006629,0.0003069,146.01,4689639472995382656,6.03046550632,0.4496,-72.06907228567,0.5758,,,,,,,,,61,22.2565,772.27,1.516,5.901e+01,3,,,8,,0,6.32045e+03,6.21480e+01,16.185497,,,,,,,,,,0,,,,,,,0.011026,,,16.185497,0.011026,6.32045e+03,,0.4496,0.5758,-0.6183
3.902359,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02537253455,-72.06781241689,0.0042527,0.0003483,41.57,4689639472995344896,6.02537253455,2.8338,-72.06781241689,3.1900,,,,,,,,,38,12.6572,276.85,1.373,2.656e+01,3,,,5,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.8338,3.1900,0.9865
3.935379,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.03110159995,-72.06806600556,0.0006432,0.0001429,13.24,4689639472995345152,6.03110159995,0.2026,-72.06806600556,0.6270,,,,,,,,,38,3.5841,70.41,0.354,2.120e+00,3,,,5,,0,4.86230e+03,5.80856e+01,16.470263,,,,,,,,,,0,,,,,,,0.013260,,,16.470263,0.013260,4.86230e+03,,0.2026,0.6270,0.6902
4.085182,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02732173065,-72.06967663073,0.0160459,0.0003450,96.10,4689639472995381120,6.02732173065,15.9551,-72.06967663073,1.7385,,,,,,,,,37,2.3935,54.27,0.421,2.755e+00,3,,,4,,0,9.75284e+03,2.62327e+01,15.714540,,,,,,,,,,0,,,,,,,0.004015,,,15.714540,0.004015,9.75284e+03,,15.9551,1.7385,-0.9799
4.466372,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.03154169673,-72.06910769436,0.0005118,0.0003536,130.69,4689639473007316864,6.03154169673,0.4514,-72.06910769436,0.4280,,,,,,,,,92,47.2829,3380.72,2.559,2.094e+02,3,,,12,,0,8.09976e+03,1.59365e+02,15.916187,1.83644e+04,6.81386e+02,14.678599,2.52106e+04,13.743938,5.380,0.934661,,,0,,,,,,,0.021539,0.040381,0.024227,15.916187,0.021539,8.09976e+03,4.169,0.4514,0.4280,-0.3502
4.613153,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02954367712,-72.06973862579,0.0003443,0.0002401,41.86,4689639473007317376,6.02954367712,0.2911,-72.06973862579,0.3023,,,,,,,,,55,6.2607,141.04,0.993,3.326e+01,3,,,8,,0,9.17170e+03,1.59998e+02,15.781241,2.38888e+04,5.12397e+03,14.393056,2.97251e+04,13.565087,5.846,0.827969,,,0,,,,,,,0.019140,0.232899,0.042271,15.781241,0.019140,9.17170e+03,4.644,0.2911,0.3023,0.3438
4.666116,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02410492508,-72.06801606153,0.0006236,0.0004207,44.65,4689639473004141184,6.02410492508,0.5307,-72.06801606153,0.5332,,,,,,,,,87,102.2227,20687.85,2.914,6.160e+02,3,,,9,,0,1.40892e+04,1.68369e+02,15.315147,2.08234e+04,1.47922e+03,14.542165,2.77639e+04,13.639193,3.449,0.902972,,,0,,,,,,,0.013264,0.077178,0.039699,15.315147,0.013264,1.40892e+04,2.240,0.5307,0.5332,0.3744
4.680096,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02749816527,-72.06726420679,0.0006004,0.0004908,15.81,4689639472995344000,6.02749816527,0.4998,-72.06726420679,0.5930,,,,,,,,,58,42.1362,2737.70,2.341,1.987e+02,3,,,8,,1,1.06832e+04,3.24782e+02,15.615619,2.15656e+04,1.30252e+03,14.504139,2.82631e+04,13.619847,4.664,0.884292,,,0,,,,,,,0.033123,0.065636,0.019748,15.615619,0.033123,1.06832e+04,3.458,0.4998,0.5930,0.1058
3.341254,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03304397216,-72.07861741634,0.0006267,0.0000861,41.50,4689639266835395072,6.03304397216,0.4203,-72.07861741634,0.4728,,,,,,,,,44,5.9655,117.57,0.193,7.276e+00,3,,,5,,0,5.62592e+04,2.43122e+02,13.811883,,,,,,,,,,0,,,,,,,0.005441,,,13.811883,0.005441,5.62592e+04,,0.4203,0.4728,0.9624
3.593771,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03556461654,-72.07705442210,0.0001517,0.0000457,40.85,4689639473003135744,6.03556461654,0.1051,-72.07705442210,0.1186,,,,,,,,,57,10.0444,234.59,0.202,9.492e+00,3,,,6,,0,8.60808e+04,1.59421e+02,13.350101,,,,,,,,,,0,,,,,,,0.003411,,,13.350101,0.003411,8.60808e+04,,0.1051,0.1186,0.8310
4.025414,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03090844572,-72.07859011194,0.0114152,0.0083713,110.13,4689639472993785984,6.03090844572,11.0983,-72.07859011194,8.7871,,,,,,,,,48,425.4633,1354366.40,36.799,7.965e+04,3,,,6,,0,6.04351e+04,2.34200e+03,13.734143,1.31904e+05,1.22091e+04,12.537899,2.08074e+05,11.452352,5.625,1.085547,,,0,,,,,,,0.042165,0.100535,0.117266,13.734143,0.042165,6.04351e+04,4.401,11.0983,8.7871,-0.1996
4.061327,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.02985773797,-72.07714079025,0.0004755,0.0000496,140.41,4689639472997411328,6.02985773797,0.3054,-72.07714079025,0.3678,,,,,,,,,47,10.1215,217.82,0.255,1.899e+01,3,,,6,,0,1.49114e+05,6.69121e+02,12.753570,1.22269e+05,1.09922e+04,12.620255,2.24413e+05,11.370274,2.325,1.249981,,,0,,,,,,,0.005597,0.097650,0.053858,12.753570,0.005597,1.49114e+05,1.083,0.3054,0.3678,-0.9777
4.258656,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03686281582,-72.07786500358,0.0632456,0.0401360,93.38,4689639266845798144,6.03686281582,63.1801,-72.07786500358,40.2391,,,,,,,,,29,1050.1046,25496800.00,124.670,1.315e+06,3,,,5,,0,5.47847e+04,3.48988e+03,13.840719,1.29992e+05,1.34314e+04,12.553749,1.89685e+05,11.552813,5.835,1.000937,,,0,,,,,,,0.069218,0.112218,0.031342,13.840719,0.069218,5.47847e+04,4.618,63.1801,40.2391,-0.0553
4.278668,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03415913773,-72.07882879736,0.0115256,0.0027110,29.14,4689639266835395584,6.03427423570,0.1863,-72.07881930305,0.2874,-0.0304,0.2219,-0.1370,8.250,7.969,0.378,2.136,0.623,90,47.7754,8564.81,0.959,5.554e+02,95,1.4402,0.0533,9,6.421,0,2.91602e+05,1.80378e+03,12.025392,3.78688e+05,1.81407e+03,11.392838,7.63795e+05,10.040453,3.918,1.352385,,,0,,,,,,,0.007259,0.005902,0.017637,12.025392,0.007259,2.91602e+05,2.665,6.0908,10.1534,0.8630
4.409495,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03513682003,-72.07664416983,0.0016372,0.0008514,48.89,4689639468699968384,6.03519950983,0.0568,-72.07665389158,0.0505,0.2493,0.0351,7.1081,4.861,4.341,0.087,-2.187,0.081,130,4.8724,915.02,0.212,4.058e+01,95,1.3723,0.0071,13,1.322,0,3.44159e+05,8.02413e+02,11.845468,1.90693e+05,5.14033e+03,12.137704,4.14839e+05,10.703198,1.759,1.434506,,,0,,,,,,,0.003742,0.029400,0.018277,11.845468,0.003742,3.44159e+05,0.497,1.3546,1.2531,0.5707
1.509650,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,5.99644225119,-72.06658225760,0.0017131,0.0013097,50.99,4689639537419422848,5.99651705843,0.0749,-72.06659358056,0.0670,0.1770,0.0720,2.4594,5.775,5.183,0.097,-2.548,0.094,127,23.8528,2023.23,0.495,1.222e+02,95,1.4349,0.0157,13,2.872,0,1.26522e+05,2.28581e+02,12.931952,6.64948e+04,1.15863e+03,13.281573,1.23723e+05,12.016773,1.503,1.264800,,,0,,,,,,,0.003382,0.019123,0.013523,12.931952,0.003382,1.26522e+05,0.260,1.5658,1.4827,0.2569
2.721719,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,5.99781697310,-72.06708170468,0.0031020,0.0019717,10.66,4689639541716237824,5.99781697310,2.0209,-72.06708170468,3.0702,,,,,,,,,54,82.9200,13957.02,11.110,3.228e+03,3,,,7,,0,4.73510e+03,1.26119e+02,16.499044,3.14265e+04,1.20018e+03,14.095303,2.69892e+04,13.669922,12.337,0.425381,,,0,,,,,,,0.029050,0.041558,0.278101,16.499044,0.029050,4.73510e+03,11.162,2.0209,3.0702,0.1680
3.451083,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,5.99517390933,-72.06695667606,0.0023232,0.0011074,79.35,4689639541722590848,5.99525812004,0.1149,-72.06697075092,0.0587,1.0134,0.0889,11.3986,6.638,5.834,0.138,-3.167,0.075,77,13.4484,394.88,0.299,2.492e+01,95,1.4952,0.0147,10,2.314,0,5.90022e+04,3.61983e+02,13.760196,4.42753e+04,7.62432e+02,13.723139,9.42223e+04,12.312511,2.347,1.410628,,,0,,,,,,,0.007208,0.018904,0.064623,13.760285,0.007209,5.89974e+04,1.088,2.2923,1.1700,0.2825
3.671061,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,5.99781652099,-72.06531480693,0.0003778,0.0002989,45.74,4689639537419423616,5.99789397821,0.0167,-72.06532883284,0.0149,0.2520,0.0187,13.4828,6.226,5.367,0.021,-3.156,0.021,213,6.1702,565.55,0.111,1.187e+01,31,,,19,1.316,0,2.83497e+05,1.58611e+02,12.055994,1.13354e+05,2.61559e+02,12.702448,2.63985e+05,11.193947,1.331,1.508501,-13.43,1.38,2,4500.0,3.0,,,,,0.002821,0.003750,0.003993,12.055994,0.002821,2.83497e+05,0.060,0.3417,0.3397,0.2299
4.485845,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,5.99445243977,-72.06552242813,0.0028223,0.0024930,27.33,4689639541714879232,5.99451530736,0.1660,-72.06553607172,0.1598,-0.0630,0.1965,-0.3206,5.329,4.356,0.163,-3.070,0.169,108,48.5177,3616.80,0.882,1.539e+02,31,,,12,5.863,0,2.97846e+04,1.20326e+02,14.502389,2.10854e+04,2.68928e+02,14.528585,3.24161e+04,13.470995,1.796,1.057591,,,0,,,,,,,0.005180,0.014126,0.006882,14.502389,0.005180,2.97846e+04,0.574,2.5659,2.7562,0.1009
4.549215,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,5.99617651612,-72.06513803731,0.0011970,0.0005923,47.41,4689639541714782080,5.99617651612,0.9681,-72.06513803731,0.9200,,,,,,,,,59,26.8112,1081.68,3.340,9.425e+01,3,,,7,,0,2.97820e+03,1.41060e+02,17.002483,,,,,,,,,,0,,,,,,,0.051499,,,17.002483,0.051499,2.97820e+03,,0.9681,0.9200,0.6053
4.575617,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,6.00145919791,-72.06672227421,0.0015930,0.0004587,127.80,4689639541723284992,6.00145919791,1.2897,-72.06672227421,1.0415,,,,,,,,,47,16.0408,424.15,1.442,4.175e+01,3,,,5,,0,4.54929e+03,3.24097e+02,16.542510,,,,,,,,,,0,,,,,,,0.077398,,,16.542510,0.077398,4.54929e+03,,1.2897,1.0415,-0.8391
4.613647,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,6.00001247301,-72.06735992043,0.0040754,0.0030699,136.70,4689639541716238080,6.00001247301,3.5783,-72.06735992043,3.6372,,,,,,,,,50,128.8931,45715.86,14.024,5.619e+03,3,,,6,,0,7.11747e+03,1.19298e+02,16.056553,,,,,,,,,,0,,,,,,,0.018406,,,16.056553,0.018406,7.11747e+03,,3.5783,3.6372,-0.2755
4.652293,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,6.00100138693,-72.06705805225,0.0001204,0.0000900,44.52,4689639541716238336,6.00100138693,0.1060,-72.06705805225,0.1065,,,,,,,,,77,26.8406,1108.96,0.542,6.942e+01,3,,,8,,0,4.45704e+04,2.08474e+02,14.064750,3.09479e+04,5.06095e+02,14.111965,4.89773e+04,13.022908,1.793,1.089057,,,0,,,,,,,0.005778,0.017973,0.016400,14.064750,0.005778,4.45704e+04,0.568,0.1060,0.1065,0.2833
2.188979,J0024-7204O,clf+00,J0024-7204O,00:24:04.65254,-72:04:53.7670,BTX,UL,4.69,6.02128512273,-72.08176982871,0.0011075,0.0006279,174.15,4689639266844741376,6.02136691235,0.0361,-72.08178209766,0.0382,0.2545,0.0490,5.1936,6.299,5.662,0.039,-2.761,0.070,188,7.5934,1183.87,0.247,4.645e+01,95,1.4139,0.0083,16,1.421,0,5.10400e+05,1.11999e+03,11.417591,2.61019e+05,5.89722e+03,11.796860,5.91638e+05,10.317756,1.671,1.479104,,,0,,,,,,,0.003643,0.024688,0.007975,11.417591,0.003643,5.10400e+05,0.403,0.6347,1.1036,-0.1206
4.172704,J0024-7204O,clf+00,J0024-7204O,00:24:04.65254,-72:04:53.7670,BTX,UL,4.69,6.01671669361,-72.08078388881,0.0004463,0.0002535,121.10,4689639473007384704,6.01671669361,0.4040,-72.08078388881,0.3166,,,,,,,,,48,65.0151,7832.70,1.289,5.726e+02,3,,,6,,0,9.46301e+04,9.98185e+03,13.247293,1.94067e+05,8.21821e+03,12.118664,2.59288e+05,11.213440,4.791,0.905224,,,0,,,,,,,0.114560,0.046063,0.100374,13.247293,0.114560,9.46301e+04,3.582,0.4040,0.3166,-0.4666
4.309833,J0024-7204O,clf+00,J0024-7204O,00:24:04.65254,-72:04:53.7670,BTX,UL,4.69,6.02312874336,-72.08127489998,0.0002195,0.0002035,141.06,4689639266848574080,6.02312874336,0.2099,-72.08127489998,0.2133,,,,,,,,,67,58.8780,5730.55,0.894,3.183e+02,3,,,7,,0,1.04710e+05,9.29584e+02,13.137397,1.73787e+05,2.40357e+03,12.238500,2.63634e+05,11.195391,4.177,1.043109,,,0,,,,,,,0.010025,0.015273,0.044295,13.137397,0.010025,1.04710e+05,2.957,0.2099,0.2133,-0.0738
1.355516,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08225220708,-72.06962049863,0.0049757,0.0036445,8.75,4689639301208567936,6.08237220692,0.2236,-72.06960745829,0.2695,-1.8610,0.2897,-6.4234,8.815,8.312,0.226,2.934,0.312,96,31.0345,1576.21,1.404,9.141e+01,95,1.5525,0.0800,11,4.047,0,6.35035e+03,1.38217e+02,16.180372,1.29122e+04,6.02989e+02,15.061043,1.70630e+04,14.167757,4.720,0.893286,,,0,,,,,,,0.023791,0.050780,0.010032,16.184092,0.023872,6.32863e+03,3.513,3.6807,4.9489,0.0947
1.423251,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08208940070,-72.06934626623,0.0060881,0.0019055,66.01,4689639301194969472,6.08208940070,5.6158,-72.06934626623,3.0263,,,,,,,,,43,37.6302,2205.58,4.388,2.487e+02,3,,,6,,0,3.48800e+03,2.32997e+02,16.830925,1.22357e+04,3.73994e+03,15.119474,1.64285e+04,14.208903,8.218,0.910571,,,0,,,,,,,0.072579,0.331877,0.058030,16.830925,0.072579,3.48800e+03,7.009,5.6158,3.0263,0.7308
1.467508,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08274631682,-72.06980983702,0.0096907,0.0080587,118.04,4689639301194969344,6.08259468879,0.4352,-72.06980720880,0.4433,1.7430,0.5252,3.3190,10.520,-10.503,0.587,0.591,0.526,77,11.1438,2735.97,2.509,2.120e+02,95,0.9253,0.1940,9,2.063,0,6.57706e+03,1.41808e+02,16.142288,1.15486e+04,1.33822e+02,15.182216,1.72430e+04,14.156366,4.378,1.025849,,,0,,,,,,,0.023571,0.012887,0.014687,16.145551,0.023641,6.55732e+03,3.158,9.3546,8.4466,-0.1521
2.622486,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08454470824,-72.06881868256,0.0081874,0.0063579,170.19,4689639301203671168,6.08463684089,0.2986,-72.06884198659,0.4811,0.6209,0.4134,1.5018,8.260,6.382,0.403,-5.243,0.492,80,24.5142,1006.53,1.802,5.245e+01,95,1.5567,0.1129,9,3.580,0,3.13437e+03,1.06277e+01,16.946991,,,,,,,,,,0,,,,,,,0.004598,,,16.946991,0.004598,3.13437e+03,,6.4183,8.1401,-0.0855
2.682079,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08355902455,-72.07018621946,0.0002782,0.0002550,1.13,4689639301198527744,6.08355902455,0.2550,-72.07018621946,0.2782,,,,,,,,,76,21.3072,744.63,1.212,2.191e+01,3,,,8,,0,3.30387e+03,3.35865e+01,16.889809,7.88741e+03,1.83920e+03,15.596206,1.14837e+04,14.597693,5.863,0.998513,,,0,,,,,,,0.011376,0.253189,0.097848,16.889809,0.011376,3.30387e+03,4.646,0.2550,0.2782,0.0034
2.913538,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08307238472,-72.06863912555,0.0010612,0.0001873,155.38,4689639301208567808,6.08307238472,0.4738,-72.06863912555,0.9678,,,,,,,,,51,7.8815,168.98,0.743,6.989e+00,3,,,5,,0,2.83035e+03,1.66891e+01,17.057766,,,,,,,,,,0,,,,,,,0.006970,,,17.057766,0.006970,2.83035e+03,,0.4738,0.9678,-0.9012
3.218039,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08214816842,-72.06862840475,0.0025281,0.0021256,3.21,4689639296909714432,6.08222040214,0.1017,-72.06863987333,0.1145,0.1682,0.1182,1.4231,5.630,5.004,0.130,-2.580,0.155,151,26.9499,1565.13,0.786,8.096e+01,95,1.4107,0.0287,15,2.943,0,1.60170e+04,5.58288e+01,15.175915,1.36997e+04,2.70811e+02,14.996768,2.00377e+04,13.993277,2.106,1.003491,,,0,,,,,,,0.004681,0.021643,0.011876,15.178019,0.004687,1.59860e+04,0.889,2.1270,2.5270,0.0195
3.726963,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08064252258,-72.06882355566,0.0008510,0.0006194,140.81,4689639301208567424,6.08064252258,0.7209,-72.06882355566,0.7670,,,,,,,,,112,81.2331,11108.43,4.953,7.496e+02,3,,,11,,0,5.02852e+03,8.37785e+01,16.433765,8.25136e+03,9.31879e+00,15.547229,1.38234e+04,14.396357,4.390,1.150872,,,0,,,,,,,0.018298,0.003048,0.110108,16.433765,0.018298,5.02852e+03,3.158,0.7209,0.7670,-0.3016
4.401046,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.08410611780,-72.06824530674,0.0005341,0.0002032,140.62,4689639296919279616,6.08410611780,0.3735,-72.06824530674,0.4325,,,,,,,,,62,10.4470,255.31,0.961,1.676e+01,3,,,8,,0,4.42469e+03,2.94429e+01,16.572659,5.29752e+03,1.96238e+02,16.028360,9.45471e+03,14.808775,3.334,1.219585,,,0,,,,,,,0.007732,0.040316,0.040916,16.572659,0.007732,4.42469e+03,2.095,0.3735,0.4325,-0.7407
4.470930,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,6.07947570162,-72.06980769274,0.0009434,0.0006425,78.55,4689639301194971904,6.07954082008,0.0411,-72.06981381130,0.0324,0.3529,0.0423,8.3514,4.716,4.511,0.059,-1.377,0.041,135,14.9795,552.86,0.235,1.917e+01,31,,,15,2.057,0,6.18407e+04,1.55479e+02,13.709181,4.16049e+04,1.01443e+03,13.790682,6.44358e+04,12.725078,1.715,1.065604,,,0,,,,,,,0.003879,0.026620,0.024974,13.709181,0.003879,6.18407e+04,0.492,0.9334,0.6570,0.1514
